,zipcode,income,state
252,35808,38386,AL
253,35810,457653,AL
254,35811,751679,AL
255,35816,152557,AL
256,35824,329837,AL
257,35901,418881,AL
258,35903,277478,AL
259,35904,194475,AL
260,35905,131054,AL
261,35906,236626,AL
262,35907,241189,AL
263,35950,346379,AL
264,35951,197941,AL
265,35952,110527,AL
266,35953,142809,AL
267,35954,178267,AL
268,35956,149788,AL
269,35957,259144,AL
270,35958,50743,AL
271,35959,79138,AL
272,35960,176649,AL
273,35961,83009,AL
274,35962,103803,AL
275,35963,24074,AL
276,35966,55905,AL
277,35967,266297,AL
278,35968,108903,AL
279,35971,71309,AL
280,35972,22307,AL
281,35973,41181,AL
282,35974,29150,AL
283,35975,16410,AL
284,35976,445477,AL
285,35978,87537,AL
286,35979,20156,AL
287,35980,68282,AL
288,35981,32607,AL
289,35983,64909,AL
290,35984,42295,AL
291,35986,143382,AL
292,35987,41822,AL
293,35988,27879,AL
294,35989,56607,AL
295,36003,33560,AL
296,36005,28829,AL
297,36006,24941,AL
298,36009,49208,AL
299,36010,77158,AL
300,36013,21344,AL
301,36016,45164,AL
302,36017,17821,AL
303,36020,22671,AL
304,36022,364282,AL
305,36024,149261,AL
306,36025,78653,AL
307,36026,29055,AL
308,36027,251057,AL
309,36028,29317,AL
310,36029,21820,AL
311,36030,7043,AL
312,36032,36647,AL
313,36033,58716,AL
314,36034,12804,AL
315,36035,38233,AL
316,36036,31876,AL
317,36037,219468,AL
318,36039,3549,AL
319,36040,46728,AL
320,36041,23058,AL
321,36042,24125,AL
322,36043,88661,AL
323,36046,26139,AL
324,36047,22443,AL
325,36048,17776,AL
326,36049,100598,AL
327,36051,41327,AL
328,36052,33124,AL
329,36053,24196,AL
330,36054,340087,AL
331,36064,480859,AL
332,36066,538082,AL
333,36067,593265,AL
334,36069,37821,AL
335,36071,11668,AL
336,36075,35042,AL
337,36078,274669,AL
338,36079,179492,AL
339,36080,63762,AL
340,36081,276264,AL
341,36083,109754,AL
342,36088,28945,AL
343,36089,95971,AL
344,36091,66890,AL
345,36092,425136,AL
346,36093,385264,AL
347,36104,109777,AL
348,36105,143342,AL
349,36106,507935,AL
350,36107,91337,AL
351,36108,213394,AL
352,36109,558730,AL
353,36110,122665,AL
354,36111,424801,AL
355,36112,3023,AL
356,36113,17079,AL
357,36115,11183,AL
358,36116,763283,AL
359,36117,1656832,AL
360,36201,197900,AL
361,36203,427924,AL
