,zipcode,tot_income,state,population,city,lat,long,county,av_income
2406,91775,910651,CA,25389,SAN GABRIEL,34.11,-118.08,Los Angeles,35868.0
2407,91776,809276,CA,37843,SAN GABRIEL,34.08,-118.09,Los Angeles,21385.0
2408,91780,1047906,CA,35674,TEMPLE CITY,34.1,-118.05,Los Angeles,29375.0
2409,91784,1440574,CA,25999,UPLAND,34.14,-117.65,San Bernardino,55409.0
2410,91786,1228721,CA,52951,UPLAND,34.1,-117.66,Los Angeles,23205.0
2411,91786,1228721,CA,52951,UPLAND,34.1,-117.66,San Bernardino,23205.0
2412,91789,1842131,CA,43973,WALNUT,34.01,-117.85,Los Angeles,41892.0
2413,91790,1073059,CA,46374,WEST COVINA,34.06,-117.94,Los Angeles,23139.0
2414,91791,1116505,CA,33484,WEST COVINA,34.06,-117.89,Los Angeles,33344.0
2415,91792,707712,CA,29493,WEST COVINA,34.02,-117.89,Los Angeles,23996.0
2416,91801,1350722,CA,55265,ALHAMBRA,34.09,-118.13,Los Angeles,24441.0
2417,91803,745537,CA,29502,ALHAMBRA,34.07,-118.14,Los Angeles,25271.0
2418,91901,685206,CA,18586,ALPINE,32.8,-116.71,San Diego,36867.0
2419,91902,746201,CA,19429,BONITA,32.67,-117.01,San Diego,38407.0
2420,91905,31408,CA,1539,BOULEVARD,32.67,-116.31,San Diego,20408.0
2421,91906,72069,CA,3565,CAMPO,32.68,-116.47,San Diego,20216.0
2422,91910,1993842,CA,76027,CHULA VISTA,32.63,-117.05,San Diego,26225.0
2423,91911,1770140,CA,84241,CHULA VISTA,32.61,-117.03,San Diego,21013.0
2424,91913,1564210,CA,47494,CHULA VISTA,32.64,-116.98,San Diego,32935.0
2425,91914,738475,CA,16865,CHULA VISTA,32.66,-116.94,San Diego,43787.0
2426,91915,980324,CA,30679,CHULA VISTA,32.6,-116.93,San Diego,31954.0
2427,91916,71446,CA,1542,DESCANSO,32.9,-116.62,San Diego,46333.0
2428,91917,19233,CA,937,DULZURA,32.62,-116.67,San Diego,20526.0
2429,91932,537452,CA,26801,IMPERIAL BEACH,32.57,-117.11,San Diego,20053.0
2430,91934,10207,CA,274,JACUMBA,32.63,-116.18,San Diego,37252.0
2431,91935,413645,CA,8347,JAMUL,32.69,-116.8,San Diego,49556.0
2432,91941,1306346,CA,33077,LA MESA,32.75,-116.99,San Diego,39494.0
2433,91942,1178818,CA,39795,LA MESA,32.78,-117.01,San Diego,29622.0
2434,91945,589794,CA,26673,LEMON GROVE,32.73,-117.03,San Diego,22112.0
2435,91950,977420,CA,62078,NATIONAL CITY,32.67,-117.09,San Diego,15745.0
2436,91962,71824,CA,2190,PINE VALLEY,32.78,-116.48,San Diego,32796.0
2437,91963,19936,CA,988,POTRERO,32.63,-116.59,San Diego,20178.0
2438,91977,1374528,CA,62065,SPRING VALLEY,32.71,-116.99,San Diego,22147.0
2439,91978,268571,CA,9804,SPRING VALLEY,32.71,-116.94,San Diego,27394.0
2440,91980,28558,CA,595,TECATE,32.59,-116.58,San Diego,47997.0
2441,92003,264591,CA,4905,BONSALL,33.28,-117.19,San Diego,53943.0
2442,92004,75086,CA,2520,BORREGO SPRINGS,33.17,-116.27,San Diego,29796.0
2443,92007,969653,CA,11929,CARDIFF BY THE SEA,33.01,-117.27,San Diego,81285.0
2444,92008,1360147,CA,26968,CARLSBAD,33.13,-117.3,San Diego,50436.0
2445,92009,2923505,CA,44330,CARLSBAD,33.09,-117.27,San Diego,65949.0
2446,92010,757988,CA,15551,CARLSBAD,33.15,-117.28,San Diego,48742.0
2447,92011,1433170,CA,24899,CARLSBAD,33.1,-117.29,San Diego,57559.0
2448,92014,1781119,CA,13665,DEL MAR,32.96,-117.25,San Diego,130342.0
2449,92019,1536524,CA,43200,EL CAJON,32.77,-116.86,San Diego,35568.0
2450,92020,1440916,CA,58554,EL CAJON,32.79,-116.96,San Diego,24608.0
2451,92021,1550724,CA,69552,EL CAJON,32.84,-116.88,San Diego,22296.0
2452,92024,3482840,CA,50246,ENCINITAS,33.05,-117.25,San Diego,69316.0
2453,92025,1230883,CA,53742,ESCONDIDO,33.09,-116.94,San Diego,22904.0
2454,92026,1543681,CA,49327,ESCONDIDO,33.22,-117.1,San Diego,31295.0
2455,92027,1339038,CA,56899,ESCONDIDO,33.13,-116.98,San Diego,23534.0
2456,92028,1526506,CA,48468,FALLBROOK,33.39,-117.29,Riverside,31495.0
2457,92028,1526506,CA,48468,FALLBROOK,33.39,-117.29,San Diego,31495.0
2458,92029,985749,CA,18758,ESCONDIDO,33.08,-117.13,San Diego,52551.0
2459,92036,98964,CA,2700,JULIAN,32.99,-116.41,San Diego,36653.0
2460,92037,4379883,CA,38659,LA JOLLA,32.86,-117.24,San Diego,113295.0
2461,92040,1301011,CA,43191,LAKESIDE,32.9,-116.89,San Diego,30122.0
2462,92054,1032315,CA,42523,OCEANSIDE,33.35,-117.43,San Diego,24277.0
2463,92055,91203,CA,12926,CAMP PENDLETON,33.29,-117.3,San Diego,7056.0
2464,92056,1685647,CA,53920,OCEANSIDE,33.2,-117.29,San Diego,31262.0
2465,92057,1619213,CA,57125,OCEANSIDE,33.27,-117.28,San Diego,28345.0
2466,92058,749937,CA,46463,OCEANSIDE,33.18,-117.29,San Diego,16141.0
2467,92059,74837,CA,1177,PALA,33.38,-117.07,San Diego,63583.0
2468,92060,7215,CA,79,PALOMAR MOUNTAIN,33.31,-116.84,San Diego,91329.0
2469,92061,127792,CA,2046,PAUMA VALLEY,33.3,-116.92,San Diego,62459.0
2470,92064,2595078,CA,49763,POWAY,32.97,-117.02,San Diego,52149.0
2471,92065,1285736,CA,37633,RAMONA,33.07,-116.83,San Diego,34165.0
2472,92066,8469,CA,530,RANCHITA,33.21,-116.47,San Diego,15979.0
2473,92067,3221879,CA,9127,RANCHO SANTA FE,33.02,-117.19,San Diego,353005.0
2474,92069,1328940,CA,48682,SAN MARCOS,33.15,-117.17,San Diego,27298.0
2475,92070,27825,CA,1034,SANTA YSABEL,33.18,-116.73,San Diego,26910.0
2476,92071,1719879,CA,56682,SANTEE,32.85,-116.99,San Diego,30343.0
2477,92075,1154620,CA,12548,SOLANA BEACH,32.99,-117.25,San Diego,92016.0
2478,92078,1843324,CA,48009,SAN MARCOS,33.11,-117.16,San Diego,38395.0
2479,92081,975345,CA,28976,VISTA,33.18,-117.24,San Diego,33660.0
2480,92082,714177,CA,18722,VALLEY CENTER,33.25,-116.98,San Diego,38146.0
2481,92083,757352,CA,37367,VISTA,33.18,-117.24,San Diego,20268.0
2482,92084,1310284,CA,50915,VISTA,33.21,-117.2,San Diego,25735.0
2483,92086,24247,CA,1672,WARNER SPRINGS,33.28,-116.6,San Diego,14502.0
2484,92091,206503,CA,1473,RANCHO SANTA FE,33.05,-117.19,San Diego,140192.0
2485,92101,2102391,CA,36857,SAN DIEGO,32.71,-117.16,San Diego,57042.0
2486,92102,821654,CA,44778,SAN DIEGO,32.72,-117.09,San Diego,18350.0
2487,92103,1867531,CA,33873,SAN DIEGO,32.74,-117.17,San Diego,55133.0
2488,92104,1519270,CA,45788,SAN DIEGO,32.73,-117.12,San Diego,33181.0
2489,92105,979186,CA,72724,SAN DIEGO,32.73,-117.08,San Diego,13464.0
2490,92106,1229059,CA,18864,SAN DIEGO,32.72,-117.23,San Diego,65154.0
2491,92107,1321194,CA,29292,SAN DIEGO,32.73,-117.24,San Diego,45104.0
2492,92108,938962,CA,20899,SAN DIEGO,32.77,-117.1,San Diego,44929.0
2493,92109,2118957,CA,48430,SAN DIEGO,32.79,-117.23,San Diego,43753.0
2494,92110,998997,CA,28508,SAN DIEGO,32.77,-117.18,San Diego,35043.0
2495,92111,1319009,CA,48380,SAN DIEGO,32.8,-117.16,San Diego,27264.0
2496,92113,631691,CA,57887,SAN DIEGO,32.69,-117.11,San Diego,10912.0
2497,92114,1347043,CA,69688,SAN DIEGO,32.71,-117.05,San Diego,19330.0
2498,92115,1334797,CA,64410,SAN DIEGO,32.75,-117.07,San Diego,20723.0
2499,92116,1272794,CA,32920,SAN DIEGO,32.76,-117.12,San Diego,38663.0
2500,92117,1860703,CA,54489,SAN DIEGO,32.81,-117.19,San Diego,34148.0
2501,92118,1095960,CA,23473,CORONADO,32.65,-117.14,San Diego,46690.0
2502,92119,933513,CA,23456,SAN DIEGO,32.81,-117.03,San Diego,39798.0
2503,92120,1277363,CA,28518,SAN DIEGO,32.79,-117.06,San Diego,44791.0
2504,92121,406861,CA,4588,SAN DIEGO,32.9,-117.2,San Diego,88679.0
2505,92122,1780610,CA,47314,SAN DIEGO,32.85,-117.2,San Diego,37634.0
2506,92123,1000979,CA,30202,SAN DIEGO,32.8,-117.13,San Diego,33143.0
2507,92124,1097995,CA,31061,SAN DIEGO,32.82,-117.08,San Diego,35350.0
2508,92126,2409740,CA,80685,SAN DIEGO,32.88,-117.13,San Diego,29866.0
2509,92127,3030707,CA,43588,SAN DIEGO,33.02,-117.12,San Diego,69531.0
2510,92128,2395598,CA,49522,SAN DIEGO,32.99,-117.07,San Diego,48374.0
2511,92129,2487423,CA,55780,SAN DIEGO,32.96,-117.12,San Diego,44593.0
2512,92130,4915637,CA,51757,SAN DIEGO,32.95,-117.19,San Diego,94975.0
2513,92131,2360577,CA,34425,SAN DIEGO,32.89,-117.07,San Diego,68572.0
2514,92135,9252,CA,851,SAN DIEGO,32.7,-117.18,San Diego,10872.0
2515,92139,804186,CA,36720,SAN DIEGO,32.68,-117.04,San Diego,21900.0
2516,92154,1839822,CA,88016,SAN DIEGO,32.56,-117.01,San Diego,20903.0
2517,92173,704946,CA,32416,SAN YSIDRO,32.55,-117.04,San Diego,21747.0
2518,92201,1026745,CA,64436,INDIO,33.71,-116.23,Riverside,15934.0
2519,92203,854888,CA,29768,INDIO,33.75,-116.23,Riverside,28718.0
2520,92210,595135,CA,4987,INDIAN WELLS,33.7,-116.33,Riverside,119337.0
2521,92211,968792,CA,24623,PALM DESERT,33.77,-116.34,Riverside,39345.0
2522,92220,672700,CA,33101,BANNING,33.92,-116.83,Riverside,20323.0
2523,92223,1468115,CA,49804,BEAUMONT,33.94,-116.97,Riverside,29478.0
2524,92225,241379,CA,22242,BLYTHE,33.75,-114.51,Riverside,10852.0
2525,92227,518548,CA,27120,BRAWLEY,33.02,-115.45,Imperial,19121.0
