occupation,state,tot_employement,perc,h_mean,annual_mean,10,25,med,75,90
"Life, Physical, and Social Science",IN,19580,6.488,32.25,67080,27980,37870,51970,76760,111840
Community and Social Service,IN,38010,12.593,20.32,42270,25850,31690,38400,50020,64520
Legal,IN,15040,4.981,41.61,86560,32100,42170,64820,107640,162860
"Education, Training, and Library",IN,162240,53.748,22.83,47490,18990,25120,41190,59450,78640
"Arts, Design, Entertainment, Sports, and Media",IN,30620,10.146,21.34,44390,18560,25150,36640,52110,74030
Healthcare Practitioners and Technical,IN,193410,64.075,35.86,74600,31440,42470,57560,78630,127290
Healthcare Support,IN,80910,26.806,14.57,30300,20820,23210,27510,33870,43790
Protective Service,IN,58910,19.516,18.99,39490,18990,23650,35840,52030,65310
Food Preparation and Serving Related,IN,279700,92.663,10.33,21500,16420,17520,19360,23750,30150
Building and Grounds Cleaning and Maintenance,IN,88220,29.226,12.81,26650,17590,20240,24410,30900,38920
Personal Care and Service,IN,80830,26.779,11.42,23750,16760,18350,21300,25190,34580
Sales and Related,IN,288890,95.708,18.19,37840,16850,18960,24610,43350,73810
Office and Administrative Support,IN,419830,139.086,16.74,34810,19980,25220,32340,41010,53430
"Farming, Fishing, and Forestry",IN,3890,1.287,14.21,29560,17870,20890,26370,35650,46080
Construction and Extraction,IN,117810,39.029,23.75,49410,27480,34310,45480,62440,78530
"Installation, Maintenance, and Repair",IN,131940,43.711,21.51,44750,25310,32470,42020,54990,68400
Production,IN,373540,123.751,17.97,37370,22030,26930,34310,45220,58770
Transportation and Material Moving,IN,262380,86.925,16.99,35340,18880,23290,31230,43010,58450
All,IA,1535460,1000,21.5,44730,18990,24850,35930,53870,78070
Management,IA,84070,54.753,46.49,96700,40400,59200,83820,118580,162810
Business and Financial Operations,IA,67560,43.997,31.13,64760,35270,45400,59710,77370,98930
Computer and Mathematical,IA,35150,22.894,36.87,76700,40370,54690,74000,95380,116800
Architecture and Engineering,IA,18730,12.2,33.67,70040,39980,51170,66790,83430,103010
"Life, Physical, and Social Science",IA,11240,7.318,28.82,59950,31950,41300,55400,72830,94140
Community and Social Service,IA,21780,14.185,21.08,43850,23380,29710,39620,56080,71090
Legal,IA,7930,5.162,37.77,78570,30480,42280,59240,95160,146280
"Education, Training, and Library",IA,104170,67.843,24.62,51200,20960,28210,43820,62660,83330
"Arts, Design, Entertainment, Sports, and Media",IA,18770,12.221,19.14,39820,17740,22810,34820,49410,67600
Healthcare Practitioners and Technical,IA,87150,56.756,34.95,72690,31810,42630,56120,75670,123530
Healthcare Support,IA,40530,26.396,15,31200,21880,25170,29330,35740,44060
Protective Service,IA,22700,14.785,20.91,43500,19420,24670,40530,57920,72820
Food Preparation and Serving Related,IA,133500,86.943,10.63,22110,16540,17760,19840,24560,31120
Building and Grounds Cleaning and Maintenance,IA,47060,30.648,13.4,27870,17890,20800,25330,32820,40450
Personal Care and Service,IA,50400,32.821,12.39,25760,17190,19440,23150,28840,38270
Sales and Related,IA,151560,98.708,17.02,35410,17000,19310,24990,41490,65430
Office and Administrative Support,IA,220090,143.341,17.46,36310,20820,26640,34200,43710,55590
"Farming, Fishing, and Forestry",IA,5030,3.273,16.37,34040,21760,26400,31880,39200,49810
Construction and Extraction,IA,68200,44.416,21.9,45550,27220,33190,42880,55980,68480
"Installation, Maintenance, and Repair",IA,66610,43.382,22.12,46010,26160,33410,43770,56910,70160
Production,IA,153830,100.183,17.66,36740,22390,27650,34640,43250,54540
Transportation and Material Moving,IA,119420,77.774,17.63,36680,19970,25860,34240,44720,57450
All,KS,1369110,1000,21.43,44570,18590,23850,35150,53910,79820
Management,KS,62800,45.871,49.77,103530,45450,63600,89050,125620,178450
Business and Financial Operations,KS,67330,49.178,32.58,67760,35470,45640,60550,80180,105040
Computer and Mathematical,KS,35900,26.219,35.59,74020,38200,50160,69460,94250,119740
Architecture and Engineering,KS,24060,17.576,37.08,77130,39410,53280,72560,96410,123480
"Life, Physical, and Social Science",KS,8640,6.313,31.69,65920,33910,44540,58110,79760,104940
Community and Social Service,KS,16920,12.358,19.75,41080,25650,31410,38610,48910,60960
Legal,KS,7500,5.481,37.46,77910,29890,41580,58200,90220,151330
"Education, Training, and Library",KS,91210,66.621,21.5,44710,20180,26340,41120,55130,73780
"Arts, Design, Entertainment, Sports, and Media",KS,16740,12.229,21.21,44120,18110,24940,37840,53890,73160
Healthcare Practitioners and Technical,KS,83290,60.834,33.25,69170,30200,41330,55730,76100,116880
Healthcare Support,KS,41310,30.174,13.63,28350,20390,22450,25930,31070,39610
Protective Service,KS,28810,21.04,19.03,39590,18940,26440,35940,48630,65360
Food Preparation and Serving Related,KS,121450,88.708,10.35,21530,16440,17570,19460,23970,30170
Building and Grounds Cleaning and Maintenance,KS,41330,30.187,12.92,26870,17400,19900,24380,31030,39330
Personal Care and Service,KS,48350,35.314,11.78,24510,16820,18520,21560,25370,37060
Sales and Related,KS,129510,94.596,18.16,37760,16980,19310,25350,43990,72080
Office and Administrative Support,KS,218850,159.845,16.73,34800,20040,25090,32270,41200,53840
"Farming, Fishing, and Forestry",KS,3600,2.632,15.83,32930,19130,23470,31020,38920,50170
Construction and Extraction,KS,57540,42.028,21.59,44910,26030,31310,39910,54630,72570
"Installation, Maintenance, and Repair",KS,59150,43.204,22.22,46220,25050,32450,42860,58180,73810
Production,KS,111320,81.309,19.05,39610,22430,27990,35820,47870,63180
Transportation and Material Moving,KS,93490,68.282,17.86,37140,19620,25170,33360,44540,60660
All,KY,1876430,1000,20.39,42410,18210,22860,33790,51360,74790
Management,KY,85350,45.487,45.21,94030,39650,55810,80470,115170,161880
Business and Financial Operations,KY,73400,39.115,29.84,62060,33020,42340,56670,75220,97240
Computer and Mathematical,KY,31120,16.584,33.07,68790,34540,46930,65270,86600,109100
Architecture and Engineering,KY,26770,14.267,34.84,72460,37560,51380,68870,91310,112260
"Life, Physical, and Social Science",KY,8270,4.405,28.54,59360,32780,41670,54080,72300,93810
Community and Social Service,KY,26480,14.11,20.23,42090,24240,30820,38820,50380,65450
Legal,KY,9750,5.195,37.16,77290,33230,43380,60780,91930,142850
"Education, Training, and Library",KY,97850,52.144,23.91,49730,23650,35750,49620,60690,74280
"Arts, Design, Entertainment, Sports, and Media",KY,16690,8.894,21.26,44220,19170,26270,37620,53280,74060
Healthcare Practitioners and Technical,KY,124670,66.438,34.01,70740,30030,41220,56440,76770,122080
Healthcare Support,KY,50810,27.079,14.23,29610,20250,22890,27460,33820,41960
Protective Service,KY,37370,19.914,17.15,35660,18170,22200,32040,45210,58870
Food Preparation and Serving Related,KY,179790,95.816,10.12,21060,16390,17410,19120,22840,28910
Building and Grounds Cleaning and Maintenance,KY,50510,26.917,12.51,26020,17250,19530,23690,29850,38380
Personal Care and Service,KY,56290,29.998,12.13,25240,16800,18480,22120,28680,39440
Sales and Related,KY,178870,95.325,16.46,34230,16670,18510,23510,38270,63860
Office and Administrative Support,KY,289340,154.197,16.1,33490,19240,23700,30910,40050,51750
"Farming, Fishing, and Forestry",KY,4100,2.185,14.22,29570,19590,22210,26770,34040,43610
Construction and Extraction,KY,69820,37.21,21.99,45740,26120,32470,42300,56170,72860
"Installation, Maintenance, and Repair",KY,85290,45.454,21.95,45650,23790,31400,42530,56720,72320
Production,KY,199090,106.103,18.05,37540,21150,26210,34670,46170,59240
Transportation and Material Moving,KY,174810,93.162,17.46,36320,19180,23170,30400,41190,56230
All,LA,1902060,1000,19.99,41590,17530,21070,32490,51090,74840
Management,LA,79780,41.942,46.72,97170,44020,59620,80590,114700,166400
Business and Financial Operations,LA,68480,36.004,29.13,60590,30610,40010,54410,73790,97320
Computer and Mathematical,LA,20000,10.516,30.63,63700,33440,43860,58510,79020,100970
Architecture and Engineering,LA,30070,15.807,40.06,83310,38790,52700,74750,103600,136420
"Life, Physical, and Social Science",LA,12480,6.561,30.84,64140,32790,42040,57270,78020,102950
Community and Social Service,LA,25660,13.49,20.61,42870,22190,30090,40540,54320,65380
Legal,LA,13420,7.054,36.24,75380,31840,42880,59820,93880,134310
"Education, Training, and Library",LA,114450,60.171,21.75,45240,18400,29130,45250,55110,65070
"Arts, Design, Entertainment, Sports, and Media",LA,17410,9.152,23.98,49870,18110,24860,37660,57090,87850
Healthcare Practitioners and Technical,LA,133380,70.124,31.18,64850,28470,37770,53290,73130,109840
Healthcare Support,LA,55840,29.36,12.18,25340,17070,19120,22990,28820,36510
Protective Service,LA,55880,29.378,17.44,36270,18710,23680,32360,45150,58320
Food Preparation and Serving Related,LA,185570,97.564,9.86,20510,16280,17210,18750,21670,27990
Building and Grounds Cleaning and Maintenance,LA,57510,30.238,11.04,22960,16590,17990,20650,25440,32320
Personal Care and Service,LA,71290,37.481,10.54,21910,16400,17450,19210,23510,31400
Sales and Related,LA,209520,110.156,15.17,31540,16550,18250,22910,34990,55570
Office and Administrative Support,LA,269380,141.624,15.69,32630,18680,22730,29560,38780,51270
"Farming, Fishing, and Forestry",LA,4500,2.367,17.4,36200,19490,23200,31830,43800,56550
Construction and Extraction,LA,119170,62.654,21.75,45250,25080,31760,41980,56670,70880
"Installation, Maintenance, and Repair",LA,94280,49.57,21.24,44170,22480,29880,40180,55750,71780
Production,LA,111860,58.81,21.61,44960,20670,27960,39670,57080,76990
Transportation and Material Moving,LA,152120,79.976,17.67,36760,18100,22170,30920,43780,62420
All,ME,599180,1000,21.78,45300,20020,25350,36210,54310,78240
Management,ME,34690,57.888,45.74,95140,43090,60210,82710,115240,159730
Business and Financial Operations,ME,23390,39.04,31.37,65250,37790,46900,60340,78200,96110
Computer and Mathematical,ME,11370,18.969,35.98,74830,43490,54590,69910,90970,110890
Architecture and Engineering,ME,9700,16.192,36.22,75340,45020,56910,71800,92280,107970
"Life, Physical, and Social Science",ME,3990,6.653,29.88,62140,34870,44100,56090,73450,97250
Community and Social Service,ME,10250,17.106,22.36,46500,28900,35300,43390,53930,70460
Legal,ME,3590,5.989,36.91,76770,37100,46370,58900,90840,132320
"Education, Training, and Library",ME,40350,67.341,23.33,48530,25230,33350,44960,59760,74510
"Arts, Design, Entertainment, Sports, and Media",ME,8060,13.457,19.91,41410,19090,19960,33730,52790,74830
Healthcare Practitioners and Technical,ME,40770,68.046,39.11,81340,33190,46650,62560,85750,152350
Healthcare Support,ME,20760,34.64,14.67,30510,21630,24680,28970,34990,40920
Protective Service,ME,11960,19.952,19.12,39760,21660,26620,36670,49140,62750
Food Preparation and Serving Related,ME,56000,93.469,12.16,25300,18990,19470,21900,28520,36890
Building and Grounds Cleaning and Maintenance,ME,21660,36.145,14.19,29520,19680,22110,27350,34550,42290
Personal Care and Service,ME,26290,43.872,12.63,26280,19420,20880,23900,28710,36070
Sales and Related,ME,58140,97.024,16.56,34450,19090,19980,25650,39180,61360
Office and Administrative Support,ME,92610,154.564,17.15,35660,21700,27010,33940,41820,52290
"Farming, Fishing, and Forestry",ME,1770,2.959,17.58,36560,22940,28530,34760,42670,53140
Construction and Extraction,ME,25260,42.16,20.18,41980,26900,32480,39740,50100,60550
"Installation, Maintenance, and Repair",ME,26140,43.618,21.76,45260,26250,33520,42670,55970,65660
Production,ME,35940,59.98,18.85,39200,22160,27560,36470,48640,60950
Transportation and Material Moving,ME,36510,60.936,16.59,34510,20150,24250,31460,40480,52640
All,MD,2664330,1000,27.53,57270,20020,26760,43840,72420,111930
Management,MD,157080,58.957,61.85,128650,58850,83880,116820,156000,#
Business and Financial Operations,MD,165330,62.053,38.88,80870,41590,55650,75330,99720,123240
Computer and Mathematical,MD,124630,46.776,47.6,99010,50150,68190,95840,123360,153970
Architecture and Engineering,MD,60200,22.596,46.45,96620,50390,66600,91350,123230,155170
"Life, Physical, and Social Science",MD,42000,15.763,42.76,88930,41680,56670,81690,113740,145640
Community and Social Service,MD,43290,16.247,24.46,50880,24900,34000,47370,62140,81590
Legal,MD,25000,9.384,44.23,92010,37660,47390,67330,118310,166470
"Education, Training, and Library",MD,173600,65.159,30.57,63590,24850,38310,57040,79140,103280
"Arts, Design, Entertainment, Sports, and Media",MD,31620,11.869,28.62,59520,21490,34170,52860,76650,103630
Healthcare Practitioners and Technical,MD,170810,64.111,41.79,86920,35850,53300,73290,100660,145630
Healthcare Support,MD,75160,28.211,16.12,33530,21790,25860,30850,38270,48820
Protective Service,MD,71560,26.86,23.9,49700,22120,29330,45320,63710,84310
Food Preparation and Serving Related,MD,226150,84.88,12.26,25490,18810,19370,21610,27400,37250
Building and Grounds Cleaning and Maintenance,MD,87390,32.799,14.24,29610,19450,21690,26600,33600,44980
Personal Care and Service,MD,85210,31.981,14.14,29420,18940,19740,23970,32420,47920
Sales and Related,MD,266000,99.836,19.94,41470,19000,20260,27180,47380,79030
Office and Administrative Support,MD,397030,149.017,19.55,40660,20940,27600,37450,50420,63040
"Farming, Fishing, and Forestry",MD,2770,1.038,16.9,35150,20730,25670,33480,39980,52880
Construction and Extraction,MD,115820,43.471,23.72,49350,27240,34380,45210,60000,79350
"Installation, Maintenance, and Repair",MD,103320,38.778,24.95,51900,26900,36000,49470,64990,80090
Production,MD,78500,29.463,19.08,39690,20320,25360,35220,49250,64270
Transportation and Material Moving,MD,161860,60.751,19.13,39780,20300,24590,34370,48150,63910
All,MA,3528070,1000,29.86,62110,24100,29880,47440,76840,117450
Management,MA,278970,79.071,63.37,131800,57030,78900,113210,162510,#
Business and Financial Operations,MA,201220,57.035,40.55,84340,44220,56940,74870,99310,131430
Computer and Mathematical,MA,142010,40.251,46.38,96470,51590,68060,92400,120930,150460
Architecture and Engineering,MA,75880,21.507,44.44,92430,50860,65620,85970,115030,145410
"Life, Physical, and Social Science",MA,50280,14.251,40.1,83420,40830,52970,74250,103340,137170
Community and Social Service,MA,80520,22.823,23.25,48360,26540,31870,43470,60990,77890
Legal,MA,29460,8.349,59.06,122840,44200,60710,97810,158800,#
"Education, Training, and Library",MA,242160,68.639,31.94,66430,25860,37880,60720,82700,107190
"Arts, Design, Entertainment, Sports, and Media",MA,52330,14.833,30.6,63640,25270,37710,56310,78680,105290
Healthcare Practitioners and Technical,MA,242720,68.797,45.99,95660,39320,56810,79070,112170,161670
Healthcare Support,MA,105660,29.948,17.27,35930,25800,28450,33130,40250,50490
Protective Service,MA,80240,22.744,26.82,55790,25010,32300,53900,72750,91320
Food Preparation and Serving Related,MA,300430,85.153,14.34,29830,22890,23490,25350,32350,41860
Building and Grounds Cleaning and Maintenance,MA,105700,29.959,17.44,36280,23790,26750,34040,43240,52490
Personal Care and Service,MA,157030,44.509,15.68,32620,23600,25790,28810,32440,47050
Sales and Related,MA,318010,90.136,23.03,47890,23020,23980,29890,56940,94680
Office and Administrative Support,MA,499100,141.465,21.06,43800,24550,31040,40820,53830,65300
"Farming, Fishing, and Forestry",MA,1980,0.561,16.28,33860,22900,24390,29520,38730,53110
Construction and Extraction,MA,122570,34.741,29.68,61730,33040,42050,57450,78220,99010
"Installation, Maintenance, and Repair",MA,103160,29.238,26.51,55150,29520,38450,52130,68730,87480
Production,MA,152680,43.276,19.99,41570,24200,28390,37460,50420,64670
Transportation and Material Moving,MA,185970,52.713,19.06,39640,23550,25500,34180,48490,63230
All,MI,4276040,1000,23.22,48300,19540,24170,36650,59610,89630
Management,MI,194290,45.438,55.21,114830,50250,71680,100770,139300,196610
Business and Financial Operations,MI,204080,47.727,34.2,71130,35830,47930,63920,85310,112470
Computer and Mathematical,MI,111400,26.051,37.89,78810,40640,54830,75670,98890,122930
Architecture and Engineering,MI,139590,32.644,39.5,82170,45050,60450,79240,101130,123940
"Life, Physical, and Social Science",MI,28460,6.657,30.48,63400,31200,41140,56010,76240,103120
Community and Social Service,MI,59830,13.992,22.02,45810,22810,31680,43880,57340,69270
Legal,MI,26160,6.119,42.39,88170,35590,47710,70330,109660,159750
"Education, Training, and Library",MI,236970,55.418,25.43,52890,21180,27060,44040,69990,93780
"Arts, Design, Entertainment, Sports, and Media",MI,57840,13.527,24.57,51100,20990,27700,42610,64750,91790
Healthcare Practitioners and Technical,MI,279080,65.265,37.98,78990,32410,47430,63410,82780,135360
Healthcare Support,MI,134440,31.441,14.46,30080,20150,23680,28570,34520,40600
Protective Service,MI,77020,18.011,20.64,42930,19970,24130,39590,55810,71510
Food Preparation and Serving Related,MI,388040,90.748,11.31,23520,18770,19150,20110,24810,32640
Building and Grounds Cleaning and Maintenance,MI,125700,29.396,13.32,27710,19220,20610,24550,31440,39940
Personal Care and Service,MI,125450,29.338,12.62,26260,18970,19740,22630,28520,39460
Sales and Related,MI,420590,98.36,19.06,39640,18950,19790,26070,45550,78240
Office and Administrative Support,MI,624800,146.117,17.56,36530,20440,25800,33770,44330,57640
"Farming, Fishing, and Forestry",MI,5840,1.365,14.15,29440,19070,20570,26130,32480,45220
Construction and Extraction,MI,135370,31.658,24,49930,27360,34970,47140,62680,77540
"Installation, Maintenance, and Repair",MI,170910,39.969,22.75,47310,24190,31760,43760,59320,76880
Production,MI,452040,105.715,18.62,38720,21470,26230,34710,48020,62050
Transportation and Material Moving,MI,278130,65.044,17,35360,19430,22840,31140,42120,55530
All,MN,2838270,1000,25.35,52730,21400,27580,41260,63860,96310
Management,MN,168930,59.52,56.21,116920,53600,73550,102960,141950,198390
Business and Financial Operations,MN,161080,56.753,34.82,72420,41160,51920,65840,85100,111730
Computer and Mathematical,MN,94290,33.22,41.69,86710,46740,61610,82620,107100,130670
Architecture and Engineering,MN,53780,18.949,38.83,80770,46130,58320,75630,99180,124550
"Life, Physical, and Social Science",MN,26220,9.239,34.37,71500,37990,49110,64590,84790,112500
Community and Social Service,MN,55430,19.53,22.86,47550,27060,34410,45190,58920,73710
Legal,MN,19750,6.958,46.91,97570,40750,54830,77120,120730,173420
"Education, Training, and Library",MN,163850,57.729,26.44,55000,25950,34830,48870,69660,90770
"Arts, Design, Entertainment, Sports, and Media",MN,36910,13.004,25.82,53700,23910,34280,48430,66450,89050
Healthcare Practitioners and Technical,MN,182500,64.299,41.47,86270,38750,51050,71140,95940,147290
Healthcare Support,MN,85940,30.278,16.52,34360,23720,27390,32380,39650,48480
Protective Service,MN,43150,15.203,22.79,47400,22420,28360,41510,62710,80500
Food Preparation and Serving Related,MN,239950,84.541,12.34,25680,20110,20320,22770,27920,36380
Building and Grounds Cleaning and Maintenance,MN,84300,29.703,15.24,31700,20430,23020,28830,37880,48360
Personal Care and Service,MN,139210,49.049,13.34,27750,20290,21800,24830,30100,38190
Sales and Related,MN,277720,97.847,21.05,43790,20090,22080,28910,50670,83000
Office and Administrative Support,MN,409820,144.393,19.26,40060,22920,29250,37930,48590,59890
"Farming, Fishing, and Forestry",MN,3540,1.247,16.78,34900,21880,25010,31740,41000,52450
Construction and Extraction,MN,99900,35.197,27.72,57650,32970,41330,55690,72600,85490
"Installation, Maintenance, and Repair",MN,95660,33.703,23.92,49750,27650,35860,47680,61450,76340
Production,MN,217610,76.672,19.02,39570,23640,28740,36680,47860,60220
Transportation and Material Moving,MN,178720,62.968,19.01,39530,21520,26930,35990,47540,61320
All,MS,1119470,1000,18.71,38910,17480,20560,30070,46860,68240
Management,MS,56960,50.884,39.27,81680,30620,45620,67710,99780,149010
Business and Financial Operations,MS,30420,27.173,29.29,60910,29360,39840,55930,74580,96630
Computer and Mathematical,MS,11810,10.553,32.61,67820,34830,46100,61900,82800,103770
Architecture and Engineering,MS,14950,13.351,35.43,73690,34510,48590,69980,94010,120710
"Life, Physical, and Social Science",MS,6560,5.864,29.24,60820,30050,39890,52720,74590,100130
Community and Social Service,MS,13890,12.406,18.58,38650,20670,28030,35580,47670,61140
Legal,MS,5820,5.202,38.23,79510,26150,40060,59230,100540,156620
"Education, Training, and Library",MS,76490,68.329,21.16,44020,17830,23840,40300,51930,67210
"Arts, Design, Entertainment, Sports, and Media",MS,7420,6.63,21.05,43780,18940,25870,36060,50400,72010
Healthcare Practitioners and Technical,MS,77830,69.522,31.07,64620,28370,38350,51990,70630,107720
Healthcare Support,MS,31420,28.068,12.17,25320,17250,19140,22970,28350,36450
Protective Service,MS,32800,29.295,15.67,32600,18540,22630,29580,38810,49840
Food Preparation and Serving Related,MS,104000,92.901,9.94,20680,16330,17290,18870,21890,28230
Building and Grounds Cleaning and Maintenance,MS,36540,32.642,10.93,22730,16580,17880,20190,25210,32200
Personal Care and Service,MS,31020,27.713,11.02,22930,16440,17590,19520,24150,34550
Sales and Related,MS,115800,103.441,14.21,29560,16430,17950,21620,32570,51480
Office and Administrative Support,MS,162920,145.531,15.37,31970,18560,22440,29090,38140,49680
"Farming, Fishing, and Forestry",MS,5060,4.517,16.6,34530,19720,23190,32740,41460,54880
Construction and Extraction,MS,40520,36.196,19.07,39660,22710,27970,35910,49190,61970
"Installation, Maintenance, and Repair",MS,51710,46.194,20.35,42330,22120,28980,38640,53380,67750
Production,MS,109210,97.554,16.62,34560,19290,23350,30310,41220,56900
Transportation and Material Moving,MS,96310,86.034,15.66,32560,17670,20610,27170,38240,54800
All,MO,2788680,1000,21.89,45520,18700,23380,35050,55270,82250
Management,MO,125280,44.925,51.83,107800,40230,61950,92370,133690,193440
Business and Financial Operations,MO,139900,50.167,33.22,69100,34980,46150,62220,83530,106980
Computer and Mathematical,MO,84520,30.31,37.83,78690,38510,53430,76030,100670,124420
Architecture and Engineering,MO,37980,13.621,37.66,78320,40980,54600,73360,97190,124270
"Life, Physical, and Social Science",MO,16960,6.081,28.91,60140,31840,40970,52260,73410,97250
Community and Social Service,MO,42440,15.217,19.38,40310,23340,30720,37350,47400,60860
Legal,MO,17990,6.449,43.18,89820,34120,49650,68940,115070,163060
"Education, Training, and Library",MO,152830,54.802,24.55,51050,21020,29890,43210,60550,83170
"Arts, Design, Entertainment, Sports, and Media",MO,35040,12.563,24.56,51080,19730,27880,42860,62080,88350
Healthcare Practitioners and Technical,MO,192550,69.046,33.91,70530,30020,41560,56870,77610,116580
Healthcare Support,MO,87570,31.403,13.49,28060,19040,21490,25340,31860,40040
Protective Service,MO,59510,21.339,19.87,41320,20000,26750,36030,53230,69610
Food Preparation and Serving Related,MO,262620,94.175,10.66,22170,17130,18020,19550,24130,30700
Building and Grounds Cleaning and Maintenance,MO,85000,30.479,12.85,26730,18010,20160,24260,30450,39000
Personal Care and Service,MO,111630,40.03,11.62,24180,17430,18790,21550,25060,35120
Sales and Related,MO,277710,99.586,17.6,36610,17570,19480,25160,41950,67990
Office and Administrative Support,MO,441040,158.153,17.15,35660,20210,25340,32880,42740,56550
"Farming, Fishing, and Forestry",MO,4690,1.683,15.49,32220,19150,22880,29170,37980,49600
Construction and Extraction,MO,105290,37.758,25.48,53010,27540,35070,49840,69760,82180
"Installation, Maintenance, and Repair",MO,111690,40.051,21.53,44780,24160,31450,41580,56290,70480
Production,MO,203230,72.878,17.78,36980,20970,26010,33870,44440,58790
Transportation and Material Moving,MO,193210,69.282,17.01,35370,19060,23330,31640,43820,57530
All,MT,460740,1000,20.39,42400,19260,23550,33840,51730,74700
Management,MT,15180,32.946,43.17,89790,37550,54370,78580,108650,151690
Business and Financial Operations,MT,19860,43.095,29.44,61230,32380,41800,55640,73900,95170
Computer and Mathematical,MT,8150,17.68,30.63,63720,31430,43360,59070,75920,95840
Architecture and Engineering,MT,7040,15.284,34.22,71170,37880,50590,66840,85750,109230
"Life, Physical, and Social Science",MT,7360,15.976,26.54,55210,29350,34060,49770,67720,86800
Community and Social Service,MT,9470,20.551,18.94,39390,22980,28650,37030,47070,59670
Legal,MT,3670,7.965,32.19,66960,32580,40830,56580,79220,110830
"Education, Training, and Library",MT,28830,62.572,20.29,42200,19950,24700,36650,55460,72190
"Arts, Design, Entertainment, Sports, and Media",MT,6110,13.264,17.49,36370,18290,20290,30800,45100,61580
Healthcare Practitioners and Technical,MT,29990,65.086,35.95,74780,31900,45040,61410,80220,120420
Healthcare Support,MT,13190,28.63,14.15,29430,21380,24120,28070,33390,39420
Protective Service,MT,7820,16.978,21.38,44480,21120,29170,41810,56150,71230
Food Preparation and Serving Related,MT,50700,110.035,11.14,23160,17980,18820,20590,24920,31620
Building and Grounds Cleaning and Maintenance,MT,19830,43.037,13.57,28220,18910,21080,25220,32630,40820
Personal Care and Service,MT,15950,34.613,12.2,25370,18500,19980,22960,27570,36530
Sales and Related,MT,49050,106.455,16.67,34670,18430,20480,25360,38190,60440
Office and Administrative Support,MT,69290,150.398,16.41,34120,20040,25030,31500,39700,51400
"Farming, Fishing, and Forestry",MT,1800,3.908,15.67,32590,18670,21870,29770,40510,49880
Construction and Extraction,MT,28670,62.231,23.53,48950,27760,35530,46240,59930,74920
"Installation, Maintenance, and Repair",MT,22020,47.8,22.16,46080,23920,30730,41480,58170,76270
Production,MT,17740,38.507,19.07,39660,21240,26070,34530,47780,65240
Transportation and Material Moving,MT,29020,62.991,18.6,38680,19760,25060,34910,47380,62420
All,NE,970230,1000,21.89,45530,20090,25160,36130,55170,79790
Management,NE,47320,48.771,47.31,98410,40690,59200,85780,121030,166650
Business and Financial Operations,NE,49040,50.549,31.45,65410,33830,44890,59750,79190,101230
Computer and Mathematical,NE,30240,31.169,36.33,75570,39240,53500,73820,95820,117300
Architecture and Engineering,NE,12370,12.746,34.69,72160,37640,51480,68910,90310,111350
"Life, Physical, and Social Science",NE,7240,7.466,29.16,60650,31740,41440,55070,74650,97590
Community and Social Service,NE,14640,15.093,19.61,40790,22760,28180,37780,49150,63350
Legal,NE,5110,5.266,40.29,83800,33520,44850,63860,96170,159030
"Education, Training, and Library",NE,59040,60.848,24.35,50640,23060,30410,48000,63040,79310
"Arts, Design, Entertainment, Sports, and Media",NE,10980,11.313,20.86,43390,19780,26250,37480,53500,74120
Healthcare Practitioners and Technical,NE,62310,64.223,35.17,73150,33040,44390,58910,77560,119800
Healthcare Support,NE,27940,28.793,14.18,29500,21120,23630,27780,33170,40200
Protective Service,NE,15440,15.912,21.04,43760,20770,27870,38860,56900,72910
Food Preparation and Serving Related,NE,82020,84.536,11.67,24270,19410,19790,21530,25810,32210
Building and Grounds Cleaning and Maintenance,NE,28050,28.913,13.22,27490,19660,20990,24660,31430,39130
Personal Care and Service,NE,27600,28.449,13.1,27250,19510,20260,23570,29440,38640
Sales and Related,NE,98000,101.005,17.99,37410,19250,20090,26080,44150,68750
Office and Administrative Support,NE,152640,157.326,16.89,35120,20720,25550,32490,41020,52880
"Farming, Fishing, and Forestry",NE,3470,3.581,17.01,35390,21720,26140,32920,41250,53260
Construction and Extraction,NE,43320,44.651,20.75,43170,26300,31620,39230,52070,66110
"Installation, Maintenance, and Repair",NE,39910,41.139,22.31,46410,25930,33170,43370,57040,73200
Production,NE,75820,78.148,18.07,37590,22860,28130,35120,43580,55080
Transportation and Material Moving,NE,77720,80.105,18.14,37720,20690,26310,34860,45010,60200
All,NV,1310220,1000,21.65,45040,18680,24010,34930,54210,81370
Management,NV,60530,46.195,52.31,108810,51320,67490,92970,128970,187330
Business and Financial Operations,NV,46430,35.441,33.14,68930,36660,47460,60900,78860,102510
Computer and Mathematical,NV,19410,14.812,36.93,76820,38770,49940,72260,98150,123030
Architecture and Engineering,NV,12790,9.76,38.09,79230,40970,56070,74460,96810,122880
"Life, Physical, and Social Science",NV,8120,6.2,31.78,66100,32630,43720,60390,80600,104660
Community and Social Service,NV,12470,9.516,24.95,51890,29280,39010,49630,62680,77380
Legal,NV,8770,6.695,51.67,107480,44280,59490,91410,133250,191060
"Education, Training, and Library",NV,55180,42.113,23.53,48940,24700,30790,47220,61040,75000
"Arts, Design, Entertainment, Sports, and Media",NV,19170,14.629,25.4,52820,22210,30620,46940,64990,83310
Healthcare Practitioners and Technical,NV,59030,45.05,43.3,90070,35930,55190,78560,101060,145060
Healthcare Support,NV,25320,19.326,16.89,35120,22660,27520,33450,39950,49800
Protective Service,NV,41840,31.933,21.13,43950,20210,25040,35730,56350,84940
