occupation,state,tot_employement,perc,h_mean,annual_mean,10,25,med,75,90
"Life, Physical, and Social Science",AR,5930,4.937,27.74,57710,29730,38100,51480,69440,92760
Community and Social Service,AR,14200,11.83,19.36,40270,23080,29140,36720,50040,62640
Legal,AR,6240,5.2,33.55,69780,25060,33420,52560,88150,143850
"Education, Training, and Library",AR,74540,62.106,21.83,45400,18790,24060,43270,55320,67140
"Arts, Design, Entertainment, Sports, and Media",AR,9380,7.816,21.85,45440,19580,25420,38190,56340,80870
Healthcare Practitioners and Technical,AR,79770,66.468,31.95,66450,27700,37210,51160,72910,118180
Healthcare Support,AR,37330,31.104,12.71,26430,18770,20670,23890,28990,37470
Protective Service,AR,26740,22.279,17.4,36180,19660,25590,33250,43090,56250
Food Preparation and Serving Related,AR,106430,88.683,10.3,21420,18010,18500,19350,21760,27460
Building and Grounds Cleaning and Maintenance,AR,35280,29.397,11.55,24030,18200,18980,21270,26530,32760
Personal Care and Service,AR,34000,28.332,11,22880,18090,18730,19980,23880,30430
Sales and Related,AR,124830,104.013,16.19,33680,18220,19020,23050,36750,62100
Office and Administrative Support,AR,170810,142.327,15.64,32540,19380,22960,29410,38180,50460
"Farming, Fishing, and Forestry",AR,5900,4.914,15.11,31440,19080,21720,27210,37880,52170
Construction and Extraction,AR,46330,38.602,18.11,37660,21450,27120,34710,45390,58100
"Installation, Maintenance, and Repair",AR,55370,46.133,20.11,41830,22130,28670,38180,51460,67080
Production,AR,114500,95.405,16.07,33430,20380,23480,29740,39610,51170
Transportation and Material Moving,AR,105670,88.048,15.92,33110,18990,21860,28880,38780,53710
All,CA,16695010,1000,27.5,57190,22490,26430,40980,70360,113250
Management,CA,942620,56.461,63.57,132220,51060,75020,115350,166370,#
Business and Financial Operations,CA,978370,58.602,40.14,83500,40850,55110,73930,100030,134100
Computer and Mathematical,CA,590550,35.373,50.66,105380,50760,71490,100480,132880,164430
Architecture and Engineering,CA,331740,19.871,47.87,99580,51400,68180,94520,125620,157930
"Life, Physical, and Social Science",CA,173100,10.368,39.67,82510,36980,51140,75680,105540,131260
Community and Social Service,CA,268430,16.078,26.44,55000,27730,35960,49360,69910,93540
Legal,CA,129420,7.752,62.09,129140,41420,63490,103450,169980,#
"Education, Training, and Library",CA,1014020,60.738,30.59,63620,28440,37020,54460,82870,104270
"Arts, Design, Entertainment, Sports, and Media",CA,319210,19.12,34.88,72550,26130,36650,58300,88710,131440
Healthcare Practitioners and Technical,CA,827030,49.538,46.22,96130,37550,55400,85300,120450,160710
Healthcare Support,CA,359580,21.538,17.83,37100,23880,27590,34010,43970,56220
Protective Service,CA,379830,22.751,28.3,58860,23220,28050,47250,85270,112990
Food Preparation and Serving Related,CA,1558050,93.325,13.59,28270,21500,22440,24530,30050,39700
Building and Grounds Cleaning and Maintenance,CA,478080,28.636,15.86,32980,21950,24060,29270,38660,50090
Personal Care and Service,CA,899410,53.873,13.85,28810,21510,22520,24330,29930,42580
Sales and Related,CA,1626530,97.426,20.91,43500,21440,23330,30010,48930,80700
Office and Administrative Support,CA,2484780,148.834,20.11,41820,23330,28660,38230,51180,64060
"Farming, Fishing, and Forestry",CA,223330,13.377,12.61,26240,21350,21880,23590,26040,35140
Construction and Extraction,CA,622290,37.274,27.89,58010,30070,38090,53440,73040,96090
"Installation, Maintenance, and Repair",CA,519260,31.103,25.33,52680,26510,34990,48960,65510,83600
Production,CA,849170,50.864,18.48,38430,22150,24810,31900,45950,63690
Transportation and Material Moving,CA,1120230,67.099,18.26,37970,21900,24300,31230,44780,60630
All,CO,2555300,1000,25.99,54050,20430,26820,40880,65470,101480
Management,CO,112920,44.191,61.91,128770,53550,76960,113520,160810,#
Business and Financial Operations,CO,178980,70.041,37.16,77290,39780,52640,69920,93580,122190
Computer and Mathematical,CO,109450,42.832,45.79,95240,50040,68130,92520,118920,145280
Architecture and Engineering,CO,62950,24.634,43.46,90390,45270,61140,81460,111620,148090
"Life, Physical, and Social Science",CO,30350,11.879,36.51,75950,35510,47920,66680,93740,124710
Community and Social Service,CO,36890,14.437,23.77,49440,27330,35150,46560,59900,75480
Legal,CO,20620,8.068,51.97,108100,43030,58610,83710,139700,201030
"Education, Training, and Library",CO,142930,55.936,25.88,53830,25860,34060,46730,63940,84250
"Arts, Design, Entertainment, Sports, and Media",CO,39390,15.414,25.87,53810,21090,29560,44500,65280,92930
Healthcare Practitioners and Technical,CO,142130,55.623,40.03,83270,36220,52280,70060,93710,133080
Healthcare Support,CO,61600,24.108,16.51,34330,22230,26680,32320,39230,49100
Protective Service,CO,56150,21.972,23.26,48380,21840,27490,41530,65340,85270
Food Preparation and Serving Related,CO,247640,96.914,12.31,25610,19440,19780,21940,27780,37280
Building and Grounds Cleaning and Maintenance,CO,83630,32.727,14.46,30070,20040,22480,27300,34730,45240
Personal Care and Service,CO,87330,34.176,14.27,29690,19630,20550,24350,32940,48240
Sales and Related,CO,296130,115.887,21.9,45550,19680,22210,30800,53960,90810
Office and Administrative Support,CO,360490,141.075,19.06,39630,22260,28130,36690,48070,60290
"Farming, Fishing, and Forestry",CO,6750,2.642,14.4,29960,19540,20640,26450,34780,46430
Construction and Extraction,CO,133900,52.402,23.1,48040,28330,35110,44950,57900,72380
"Installation, Maintenance, and Repair",CO,95960,37.553,24.21,50350,26590,34700,47250,62840,79260
Production,CO,102730,40.203,18.99,39510,21740,26750,35030,47500,63220
Transportation and Material Moving,CO,146380,57.285,19.75,41080,20400,24990,34150,46390,62410
All,CT,1654420,1000,28.56,59410,22450,28400,45870,73670,108030
Management,CT,117120,70.793,65.74,136740,60670,85520,119510,165340,#
Business and Financial Operations,CT,90370,54.626,40.53,84300,44410,57270,74700,98270,129120
Computer and Mathematical,CT,49630,29.999,44.11,91740,50530,66000,88330,113560,140190
Architecture and Engineering,CT,34410,20.798,42.38,88150,52520,66790,84340,106370,129940
"Life, Physical, and Social Science",CT,11540,6.975,40.05,83300,40200,54360,75030,99850,129660
Community and Social Service,CT,34410,20.797,27.3,56780,29010,36960,53240,74000,91380
Legal,CT,13640,8.244,53.44,111160,43940,58240,83180,143540,#
"Education, Training, and Library",CT,118370,71.549,31.16,64810,24570,35450,60140,86630,104570
"Arts, Design, Entertainment, Sports, and Media",CT,22790,13.775,28.95,60210,22190,33030,51880,74000,101310
Healthcare Practitioners and Technical,CT,103500,62.557,44.9,93390,41410,57470,77010,100970,162360
Healthcare Support,CT,49930,30.179,16.96,35270,23770,27680,33280,40000,49670
Protective Service,CT,36730,22.204,25.93,53940,23530,30870,52320,72520,88570
Food Preparation and Serving Related,CT,137430,83.066,13,27040,21020,21030,23470,28640,37940
Building and Grounds Cleaning and Maintenance,CT,56270,34.012,16.63,34600,21990,24080,30590,40450,53800
Personal Care and Service,CT,70580,42.661,14.99,31180,21030,22690,26100,34190,48500
Sales and Related,CT,161370,97.538,22.62,47060,21370,23140,30310,55100,89080
Office and Administrative Support,CT,256200,154.859,21.06,43810,23410,30160,40710,54510,66570
"Farming, Fishing, and Forestry",CT,1310,0.792,15.78,32820,21020,22740,28150,38030,49960
Construction and Extraction,CT,50170,30.322,27.3,56790,32310,40640,55020,67610,84360
"Installation, Maintenance, and Repair",CT,53360,32.251,26.44,55000,29620,38740,52130,66740,86730
Production,CT,94010,56.826,21.41,44530,23590,29120,39400,55030,73400
Transportation and Material Moving,CT,91290,55.178,18.47,38420,22090,25590,34860,46880,60060
All,DE,442690,1000,25.1,52200,19580,25380,38850,63940,98780
Management,DE,18250,41.226,66.83,139010,66560,90490,123000,165710,#
Business and Financial Operations,DE,27680,62.515,37.28,77540,43710,55500,70300,92050,121990
Computer and Mathematical,DE,17560,39.677,44.54,92630,52070,67070,90040,115460,139350
Architecture and Engineering,DE,6440,14.552,42.78,88980,45230,63090,83860,111750,144020
"Life, Physical, and Social Science",DE,5360,12.119,38.18,79420,41330,54060,73360,99270,130740
Community and Social Service,DE,6740,15.229,22.36,46510,28210,34280,43080,55540,73530
Legal,DE,4900,11.073,57.27,119130,41030,49940,84450,164410,#
"Education, Training, and Library",DE,25470,57.54,26.2,54490,23110,32310,51830,71150,84780
"Arts, Design, Entertainment, Sports, and Media",DE,3760,8.501,23.32,48500,19150,26790,41780,60730,82160
Healthcare Practitioners and Technical,DE,31000,70.024,41,85280,36710,53030,69600,93290,142260
Healthcare Support,DE,12220,27.605,15.9,33070,23150,26780,30560,37240,46640
Protective Service,DE,9840,22.216,20.75,43150,21650,25900,36050,52460,77970
Food Preparation and Serving Related,DE,40820,92.217,11.96,24870,18130,18940,21170,27920,37630
Building and Grounds Cleaning and Maintenance,DE,15380,34.735,13.92,28950,18960,21320,26640,33900,41970
Personal Care and Service,DE,16000,36.146,13.08,27210,18680,20380,23550,29120,41050
Sales and Related,DE,47790,107.955,18.5,38480,18250,19620,25280,44780,74680
Office and Administrative Support,DE,71860,162.316,18.47,38410,21650,27630,35640,47070,59690
"Farming, Fishing, and Forestry",DE,880,1.979,17.1,35570,20590,25090,31290,43570,52890
Construction and Extraction,DE,15510,35.034,24.28,50500,28840,35520,47290,61990,78260
"Installation, Maintenance, and Repair",DE,15920,35.969,24.12,50180,26960,35510,47730,62510,77880
Production,DE,19200,43.366,18.33,38120,21140,25410,30580,46590,66470
Transportation and Material Moving,DE,30110,68.006,16.29,33890,18920,22010,29780,40750,54530
All,DC,708220,1000,41.21,85720,26460,40400,70340,115280,161370
Management,DC,86030,121.467,70.09,145780,74340,110900,137130,161900,#
Business and Financial Operations,DC,104090,146.971,46.7,97130,54300,69070,92910,115770,149690
Computer and Mathematical,DC,42910,60.584,51.34,106790,58630,78100,106240,131450,157640
Architecture and Engineering,DC,11900,16.806,52.09,108340,61530,78890,105080,136830,161900
"Life, Physical, and Social Science",DC,25040,35.358,51.14,106360,49950,68740,101450,134820,161900
Community and Social Service,DC,11710,16.53,28.97,60270,31080,41430,56330,76210,95280
Legal,DC,39520,55.807,81.25,169000,66520,107440,155920,#,#
"Education, Training, and Library",DC,34020,48.034,37.89,78810,33400,46990,66900,93600,130630
"Arts, Design, Entertainment, Sports, and Media",DC,37340,52.723,44.09,91710,41900,56820,79930,110340,155040
Healthcare Practitioners and Technical,DC,31380,44.311,44.91,93420,42320,57360,79150,109570,161900
Healthcare Support,DC,14130,19.957,16.02,33310,25290,27070,30090,36960,46920
Protective Service,DC,27530,38.871,30.07,62540,30280,37150,56220,76770,107680
